ID,Inventor,Recency,Frequency,Monetary
140,A·O·卡亚,819,1,0.9429297394298801
141,A·O·布鲁克巴斯,1662,1,0.344180640182401
142,A·P·法拉克,490,1,0.44527669830446054
143,A·P·贝姆,1088,1,0.3667120403805564
144,A·R·乌尔夫,507,1,0.3725151022647813
145,A·R·乔杜里,2149,1,0.5093318990816941
146,A·R·阿普,301,13,0.4674760526194648
147,A·R·阿查里雅,2068,1,0.9028197796183879
148,A·S·乔希,2935,1,0.4155170211729921
149,A·S·克雷戈,658,1,0.5440248411998315
150,A·S·康那穆尔,147,1,0.4339651952964105
151,A·S·戈曼,787,1,0.37703725213537775
152,A·S·科纳努,63,1,0.32059509961083504
153,A·T·哈特尼特,322,1,0.7725686921445941
154,A·T·阿弗拉,952,1,0.9488373176340122
155,A·T·阿芙拉,1228,1,0.6365004564666643
156,A·U·津加德,637,1,0.7206553443502057
157,A·V·彭努斯瓦米,738,1,0.3627900866849802
158,A·V·菲利莫诺夫,66,1,0.3782299539749433
159,A·W·小唐斯,584,1,0.3640859977469532
160,A·W·贝因博恩,574,1,0.3153950462043456
161,A·W·马丁,735,1,0.33257726500088186
162,A·X·塞马克,1438,1,0.3299538656209636
163,A·Y·莫谢尔,1886,1,0.3196876229570007
164,A·Y·萨夫琴科,80,1,0.43437071687843254
165,A·乌古尔,903,1,0.33242759949962397
166,A·乌塔西,343,1,0.8943054053495852
167,A·乌尔夫,507,1,0.4566324766938723
168,A·乔纳拉嘎达,689,1,0.370904374901196
169,A·亚塞尔,206,1,0.9669532241594292
170,A·亚当斯,385,3,0.35289418847981396
171,A·亨克尔,1396,1,0.5276689768712707
172,A·亨德里克斯,1442,1,0.3048704400037002
173,A·伊赫桑尼贝纳法蒂,399,1,0.8479729957684078
174,A·伦克,2009,1,0.4800651064630043
175,A·伦斯费尔德,294,1,0.32541310189783645
176,A·伯克尔,119,6,0.5558286773487783
177,A·伯恩斯,756,1,0.3277552423546262
178,A·伽马拉马达卡,1540,1,0.7148378762323575
179,A·佩尔,1788,3,0.5716180243587446
180,A·佩雷特,693,1,0.7112498574966593
181,A·克卢夫廷格尔,651,2,0.5588349711023439
182,A·克尔,731,2,0.45832677898726476
183,A·克拉松,1078,2,0.3923614387696138
184,A·克拉科夫斯基,388,1,0.32595985822493273
185,A·克莱因,1190,2,0.5813415392830612
186,A·克莱恩,1260,1,0.4598141705016788
187,A·内曼,308,1,0.3306408800561235
188,A·冈古马拉,157,1,0.3675620758918021
189,A·冯艾希霍恩,952,1,0.32237281459906275
190,A·凯勒,598,3,0.47889930611118664
191,A·凯姆卡,420,1,0.35335558847188603
192,A·切尔尼金,353,1,0.37242046662954165
193,A·切纳诺维奇,409,1,0.39644151800994937
194,A·利普森,1855,5,0.48463631256419015
195,A·勒蒂斯,1676,1,0.574682225563198
196,A·卡亚,343,2,0.3878760315194779
197,A·卡内斯·亚伯拉罕,262,1,0.6147469014758
198,A·卡普兰,941,1,0.3190947234740831
199,A·卡普拉尼扬,353,1,0.5644139016445359
200,A·卡舍姆,276,1,0.35483204258777107
201,A·卡里米德克第,252,1,0.35364971241876847
202,A·厄尔厄赛利,591,1,0.5699539191578352
203,A·古普塔,343,1,0.3600132949813576
204,A·哈塔米扎德,332,1,0.4496223340718503
205,A·哈德利,1067,17,0.4595316868752232
206,A·哈曼,287,2,0.5254675727393265
207,A·哈盖利斯,325,1,0.340354951869089
208,A·图里梅拉,1312,2,0.5006857678077923
209,A·埃尔·欧瓦迪,126,1,0.3794548908985105
210,A·埃尔哈迪迪,147,1,0.343306443745021
211,A·埃尔埃塞利,371,2,0.534080617039256
212,A·埃斯迈尔,1487,1,0.43636360466162954
213,A·埃达里,574,8,0.47830122368947886
214,A·堪萨,287,1,0.6169679515150913
215,A·塔莱,56,2,0.6058089144706883
216,A·奈克,1445,2,0.3840360095059656
217,A·奥利维拉,1515,1,0.4123061140283614
218,A·奥博穆勒,1477,1,0.5452120061811733
219,A·奥格斯特,343,4,0.5615831977243722
220,A·奥纳斯,217,2,0.3815724497984772
221,A·奥西诺,325,1,0.7746837354309594
222,A·奥赫,1669,1,0.41478563129861123
223,A·奥赫利希,1008,1,0.6787026962691215
224,A·安德雷,182,2,0.43340226001973514
225,A·安科拉,259,1,0.3668314042019139
226,A·尚卡,1130,1,0.5759045376054295
227,A·尼尔松,1624,1,0.4578652263733143
228,A·巴尔特,49,3,0.3746578310778526
229,A·巴拉苏布拉马尼恩,220,3,0.39528029396959313
230,A·巴拉钱德兰,2072,1,0.3293454399431698
231,A·巴特尔斯,17,2,0.33362236750621493
232,A·巴里拉多·冈萨雷斯,1582,1,0.9916734542107157
233,A·布奇,234,1,0.6715012524559811
234,A·布拉克蒙,1827,1,0.342310671868096
235,A·布罗克迈尔,927,1,0.514812813101033
236,A·希姆勒,154,1,0.3345538331993158
237,A·希默尔施托斯,66,1,0.4591256577383768
238,A·帕卡拉,791,5,0.4141193167411966
239,A·帕帕萨克拉里欧,325,1,0.35764300981511105
240,A·帕特尼,955,1,0.7313031371427889
241,A·帕蒂尔,273,5,0.35680794345485356
242,A·库尔特,2243,4,0.46529001798653646
243,A·库里斯,287,1,0.50101804130279
244,A·库马尔,154,1,0.548067461764338
245,A·弗莱伊,213,1,0.3800831048971399
246,A·彼得森,1214,1,0.7115317909604609
247,A·彼得罗维奇,304,1,0.35207192659244535
248,A·彼得赖特,3383,1,0.9984689198142203
249,A·彼得里,1127,1,0.3320470221049557
250,A·德什潘德,514,1,0.8501924623409669
251,A·德加尼,2072,1,0.33198520354239536
252,A·德尔日,45,1,0.448257361743863
253,A·德拉莫妮卡,1155,1,0.3558039829627008
254,A·戈亚尔,273,1,0.4438188895321577
255,A·戈林鲍姆,308,1,0.3611260866747728
256,A·戈梅尔,637,1,0.4059294166685538
257,A·扎恰尔,1109,1,0.5245552665832316
258,A·托西,962,1,0.3277977494288568
259,A·拉吉特,273,1,0.9617056952281955
260,A·拉希米,66,1,0.3157710290607906
261,A·拉斯里,122,1,0.347210133937652
262,A·拉杰文卡特纳拉扬,227,1,0.9649326891952312
263,A·拉比诺维奇,759,4,0.5380967750710912
264,A·拉贾万什,2338,1,0.46148453615707347
265,A·拉鲁埃洛,658,1,0.33169343758092135
266,A·斯坦伯格,815,1,0.35637455979887184
267,A·斯塔斯克,10271,1,0.6042408478887387
268,A·斯特恩伯格,714,1,0.3239039883469876
269,A·斯特罗卡,1148,1,0.6685847781242891
270,A·施庞勒,1410,1,0.5155220030070243
271,A·施特拉斯布格尔,2173,1,0.9941944808912814
272,A·施米特,1050,1,0.5
273,A·普拉卡什,2432,1,0.4477786496895413
274,A·普拉萨德,1477,1,0.7190357149018136
275,A·普法德勒,199,9,0.46047975672735864
276,A·李,889,1,0.3781174613415505
277,A·杰哈,896,1,0.3531084906288657
278,A·根多甘,28,1,0.6447936713695936
279,A·格罗弗,1235,1,0.32854586424657056
280,A·格茨,164,1,0.3256839976311597
281,A·桑德罗维奇,444,1,0.5754176892889249
282,A·桑特拉,721,2,0.34261281496829854
283,A·梅利科基,2781,1,0.530897673934011
284,A·梅尔,4860,2,0.3816061106003714
285,A·梅尔泽,1137,5,0.36337637607731443
286,A·梅拉,465,1,0.3220703682983222
287,A·梅茨格,189,1,0.3589820792320687
288,A·梅默德威克,241,1,0.43194669149618165
289,A·森古普塔,210,1,0.3131594991722562
290,A·森西,490,2,0.794140931805106
291,A·欧贝罗伊,1127,1,0.35896423759097085
292,A·汉达,1130,1,0.3918503062521129
293,A·沃尔夫,2327,1,0.43668953162088653
294,A·沙尔夫,252,1,0.3572253373924858
295,A·波尼斯克,1795,1,0.3269182196392303
296,A·波波夫,1071,2,0.35068177068827483
297,A·泰尔巴兹,322,1,0.7378796462666664
298,A·洛克霍尔姆,227,1,0.3138593805345471
299,A·洛尔希,360,1,0.3701256148432157
300,A·洪欣赫尔,1148,1,0.41902437084834443
301,A·海尔,164,6,0.5029480680563011
302,A·潘迪,595,1,0.4073688503922319
303,A·焦万尼尼,1200,1,0.3237331015700651
304,A·特扎玛罗卡斯,168,1,0.41684736899982605
305,A·特罗亚,840,8,0.45056801423218573
306,A·班尼特,917,1,0.3520095272170484
307,A·琼德里,556,1,0.4977025429135343
308,A·瓦什,1389,1,0.36223078247057505
309,A·瓦卡列洛,640,2,0.3458002942014277
310,A·瓦塞夫,1386,1,0.3570863347255094
311,A·瓦纳尔哈弗,1648,1,0.32826676282834305
312,A·瓦赫汀斯凯,126,1,0.35427156956169287
313,A·瓦达特,689,2,0.46173260137060235
314,A·甘古力,1288,3,0.4545673798762418
315,A·甘古马拉,157,1,0.8992986781718212
316,A·百思特,4300,1,0.3306396708065702
317,A·科恩,1022,1,0.724637205572761
318,A·科林,280,1,0.28937951039462734
319,A·穆拉德,658,1,0.7372684673942083
320,A·穆罕默德,63,1,0.5204682812400697
321,A·穆里埃,119,2,0.46270067677677096
322,A·策,787,1,0.32426863598484634
323,A·米勒,700,2,0.4175891333508339
324,A·索德林德,1928,1,0.43423824111780107
325,A·约尔丹,1123,1,0.6347711464864744
326,A·纳博瓦提,24,1,0.3604659007594841
327,A·纳夫,59,2,0.3444931563363335
328,A·维加,1578,1,0.5203044534500862
329,A·维尔纳夫,2037,1,0.3943678603665817
330,A·维斯瓦纳坦,1414,6,0.3689012629070711
331,A·维莫尔,290,2,0.5662238598892064
332,A·维默尔,10,1,0.360656406798736
333,A·罗哈斯奎瓦斯,1823,1,0.383765257285795
334,A·罗杰,1039,2,0.43997146725760305
335,A·罗歇,1886,1,0.4380619689762762
336,A·罗迪恩诺瓦,1036,1,0.4833486017060349
337,A·考克,45,7,0.5460604755279396
338,A·耿,577,1,0.35472234392437463
339,A·胡什曼德,266,1,0.6876126258924504
340,A·胡博,889,1,0.5
341,A·艾尔莎菲,297,1,0.49855413634683093
342,A·艾尔阿萨德,206,2,0.34709034771047786
343,A·艾瓦希,2037,1,0.33938119841501774
344,A·艾纳,619,3,0.7855421470786359
345,A·艾迪特丹,413,1,0.4791086186996275
346,A·苏伊萨,94,1,0.41840206438107624
347,A·苏塔瓦尼,556,1,0.33027753958110573
348,A·莫弗特,1750,1,0.4261553045614707
349,A·莱农,1753,1,0.3148414346130169
350,A·莱希纳,437,1,0.6125312477578921
351,A·莱提斯,234,2,0.3903583708752103
352,A·萨克塞纳,119,1,0.43262631354725234
353,A·蒙代洛,854,8,0.4451656171322745
354,A·诺尔,136,1,0.47906028244803295
355,A·诺金,1487,1,0.4963332120032499
356,A·贝尔森,5476,1,0.40758374746893267
357,A·贝尔瓦尔迪尚卡拉耶,1820,1,0.3269833951793925
358,A·贝尼曼,1088,1,0.9701945290818017
359,A·贝德卡,388,1,0.4499434979260715
360,A·贝格尔,1708,1,0.33794873410391174
361,A·费伦茨,1295,1,0.3382673471445972
362,A·费南德斯·杜兰,1683,1,0.3918353268932354
363,A·费基,108,2,0.5263703630702207
364,A·费安德罗缇,1134,1,0.9352072003976168
365,A·贾,556,1,0.35249060967612045
366,A·贾古玛,840,1,0.4667198438700907
367,A·贾殷,637,1,0.7575243285826104
368,A·赫勒切克,1403,1,0.34784811119019016
369,A·赫尔,490,1,0.39396079004635454
370,A·赫尔曼,1060,2,0.680799543172471
371,A·赫格伊,311,1,0.35034399325387766
372,A·赫肯斯特伦,591,1,0.7106947635490358
373,A·赫菲茨,343,1,0.34139561880814895
374,A·辛格,574,1,0.3170016563742199
375,A·达尔,717,2,0.5014786991081361
376,A·达斯,1676,1,0.34978513843528825
377,A·迈伦恩科,108,2,0.415940776891102
378,A·迈尔,136,3,0.4810634656071245
379,A·迈耶·布哈达斯,794,1,0.33526876527744437
380,A·迪尔,339,1,0.32628637409604067
381,A·迪斯特勒,84,1,0.5025450571726173
382,A·邦多尔,1043,1,0.5609342800353418
383,A·里科阿尔瓦里尼奥,112,1,0.33359434819957184
384,A·里舍克桑,1057,1,0.37049935357552205
385,A·门格,136,1,0.9693273365771428
386,A·阔切克,780,1,0.3224201557349076
387,A·阿-达勒尔,892,2,0.3605136200582396
388,A·阿加瓦尔,616,1,0.32865105970168634
389,A·阿南塔拉曼,948,1,0.7254537696884389
390,A·阿南德库玛,45,1,0.4692686152977916
391,A·阿吉瓦尔,73,8,0.49059928820165755
392,A·阿布塔贝,553,1,0.32789488288155966
393,A·阿斯曼,287,1,0.3425076449243317
394,A·阿普,955,3,0.509452780758755
395,A·雅兹丹巴克什,105,1,0.4136628204322633
396,A·雷扎伊安,1680,1,0.3778911169856327
397,A·雷耶步斯夫,1267,2,0.5134212681028492
398,A·霍莱切克,1001,1,0.4196134176680089
399,A·霍里亚夫,2201,1,0.7711948651614495
400,A·马哈拉纳,28,3,0.4852930018427733
401,A·马尔雅,871,2,0.405264970777943
402,A·马科尼,28,1,0.3392217590612289
403,A·马科斯-拉米罗,126,1,0.3419005949490228
404,A·马诺拉克斯,0,2,0.3711813955257387
405,A·马诺拉科斯,87,5,0.5162736384821505
406,A·魏因利希,1204,1,0.972602702035313
407,A·鲁多伊,2341,1,0.3180328209770144
408,A·鲍隆,700,1,0.6081795003488916
409,A·麦克威廉斯,1088,1,0.47755067655709343
410,A·麦戈尼尔,357,1,0.42817649287655246
411,A·麦赫梅达吉克,301,1,0.48485713640487044
412,A·齐盾,2543,2,0.4970099837661682
413,B.C.佩纳拉,1274,1,0.3871695511303879
414,B.E.布鲁因顿,1848,1,0.5634207041146734
415,B.M.范德斯路易斯,1659,1,0.32580168059872844
416,B.W.维尔金森,1683,1,0.30695108650806885
417,B.于,1050,1,0.3331154760269456
418,B.伦德,889,1,0.3445448302714998
419,B.加森德,994,3,0.6223331901884218
420,B.坎普,609,1,0.3273168431429068
421,B.威特,2404,1,0.37088371719495183
422,B.布雷赫特,1008,1,0.897806241877123
423,B.弗雷沃特,633,1,0.586426659964984
424,B.林多夫,2984,1,0.38108838826549346
425,B.泰勒,1736,1,0.7174118348420357
426,B.科恩,1799,1,0.3137996641758444
427,B.索夫曼,549,1,0.3591883320595403
428,B.英格拉姆,1631,1,0.8378876801461079
429,B.菲德里克,1389,1,0.33127550542439865
430,B.赫马林,1277,2,0.40116258580226516
431,B.雷,392,3,0.40603365325118096
432,B.雷克,1988,1,0.5087595992130761
433,B.齐德克,2432,1,0.5646181844502807
434,B·A·纽坎布,630,2,0.598054238246127
435,B·A·艾尔兰,392,1,0.33263975308160504
436,B·A·西利,1239,1,0.6593917868416673
437,B·B·利特库希,2271,1,0.8396433005758152
438,B·B·利特库西,1708,1,0.3517098363898352
439,B·B·利特高希,2065,1,0.4201136774191273
440,B·C·佩恩娜拉,2100,1,0.3876313754515184
441,B·C·卢卡斯,1641,1,0.4555602125986919
442,B·C·查芬,304,1,0.3618830666709885
443,B·C·甘马迪,395,1,0.3333638429137937
444,B·D·埃卡特,700,1,0.3813598636975871
445,B·D·巴拉德,234,1,0.5517266162880006
446,B·D·考奈尔,2634,2,0.4120528219018669
447,B·D·雅尔布特,3922,1,0.7619730182285415
448,B·E·亚龙,1995,1,0.7546276262400905
449,B·E·布思,1309,1,0.7156747119735075
450,B·F·戴蒙德,388,1,0.7330763971033107
451,B·G·沃伦,80,1,0.47702978300814225
452,B·H·崔,227,1,0.3949335801327304
453,B·J·M·铁默斯马,234,1,0.393525151521601
454,B·J·M·阿尔特斯,658,1,0.32738215396027015
455,B·J·安吉尔,182,1,0.6530962350380106
456,B·J·拉夫,791,1,0.34292789922444245
457,B·J·理查兹,602,2,0.39916694817629855
458,B·L·普赖斯,1113,1,0.5473734720266328
459,B·L·舒勒,1246,4,0.5857153506856498
460,B·M·史密斯,1886,1,0.5199423171554078
461,B·N·R·巴克斯,329,2,0.39876436418496325
462,B·N·西斯卡耶,1781,1,0.42980692765169415
463,B·O·蔡,591,1,0.38490270380245356
464,B·P·塞比尔,255,2,0.34657228164861914
465,B·Q·白,1533,1,0.44847734360386865
466,B·R·琼斯,2012,1,0.40098976007338544
467,B·S·库马尔,1848,2,0.3341833841411125
468,B·S·沙阿穆拉德,1459,1,0.4270889525897787
469,B·T·穆勒,2194,1,0.35401095279383127
470,B·V·卡斯蒂略,2128,1,0.3494666582587488
471,B·什雷斯塔,35,1,0.34866259899689805
472,B·伯克姆,542,1,0.35957173734682646
473,B·伯德克,255,1,0.44474740640356797
474,B·余,227,2,0.7180170945880991
475,B·克雷默斯,2571,2,0.5171720455554827
476,B·加塞,693,1,0.3497238284580715
477,B·劳滕施拉格,367,1,0.4222153371544922
478,B·史蒂文斯,1442,1,0.3444633628208696
479,B·吉斯勒,2998,1,0.3184000761472129
480,B·哈尔德,2012,3,0.3998077420333998
481,B·哈特曼,1396,1,0.35369252517939964
482,B·坎德洛尔,2436,1,0.7992430169077198
483,B·埃克特,1708,1,0.7258305139510461
484,B·基思,518,2,0.43576934189462035
485,B·塞伦,129,2,0.4537676631166447
486,B·塞尔纳,217,4,0.5024745449834802
487,B·塞比雷,693,1,0.3703007219742926
488,B·塞纳,1078,1,0.3542309139008461
489,B·安蒂,490,3,0.5498450078246501
490,B·巴哈斯卡拉,700,1,0.6629365415967153
491,B·帕洛,910,1,0.36107140773041724
492,B·库灵,1221,1,0.3446447813279423
493,B·德林克,1050,1,0.6666251280615575
494,B·斯卡尔雅克,591,2,0.33028017617552025
495,B·普迪佩迪,287,1,0.8398202079983584
496,B·朔尔茨,87,1,0.3354397967144559
497,B·杜纳吉斯基,980,1,0.3314593881495232
498,B·杰隆内克,451,1,0.9858024449647482
499,B·桑吉内蒂,1081,1,0.35266817866063316
500,B·梅尔,791,2,0.41130732304808426
501,B·沙克利特,483,1,0.3663856560572882
502,B·沙因曼,1403,1,0.4192934088731797
503,B·法尔施,882,1,0.6462174883036164
504,B·温斯坦-劳恩,1788,1,0.5525899686498124
505,B·温斯坦劳恩,1781,1,0.5713967871965849
506,B·科尔米策,1484,1,0.3634009260775971
507,B·科恩,1200,1,0.8635876136759474
508,B·穆赫里亚,749,1,0.5211770040571693
509,B·答加,1879,1,0.43044416189860657
510,B·艾萨克森,598,1,0.5367647563995769
511,B·茅斯,927,1,0.6016797430371948
512,B·莫塔,1001,1,0.7031145723248198
513,B·莱尔,2236,1,0.33058204564289695
514,B·贝扎迪,815,3,0.3810910564478136
515,B·费希尔,787,1,0.3416731694153392
516,B·辛格,164,1,0.5576651248128269
517,B·达利,938,1,0.3797723960528598
518,B·迈尔,2341,1,0.3737890060901155
519,B·邓洛普,1148,2,0.9222609689517101
520,B·邦潘,504,1,0.3300242144487761
521,B·里德,2002,1,0.3516813907553839
522,B·阮伯莱酷,1477,1,0.33151322556040524
523,B·阿什博,959,1,0.35280593045087544
524,B·阿迪普拉斯托,297,1,0.6456275337960053
525,B·雷,248,1,0.3677315030062974
526,B·雷德,1939,1,0.3302885898481053
527,B·麦格雷戈尔,528,1,0.34157959537165267
528,C-H·颜,1599,2,0.5545442340008628
529,C-K·高,1494,1,0.3392690773232064
530,C-S·崔,276,3,0.4356215869041131
531,C-Y·黄,1568,2,0.7098688792656029
532,C.E.阿雷扎,703,2,0.520267462715408
533,C.J.哈尔西,2163,1,0.33561870728850035
534,C.J.安德马德,308,1,0.3885317184228896
535,C.L.施密德,1736,1,0.9104404711183314
536,C.M.特里姆,420,1,0.6169948697371691
537,C.P.里奇,3299,5,0.6965942277247156
538,C.T.扎戈尔斯基,2914,2,0.6059799609207008
539,C.V.戈德曼-申哈,2327,2,0.4706518738459936
540,C.V.戈德曼-申哈尔,787,2,0.3851906804481431
541,C.W.克拉多科,1085,1,0.5404672370537027
542,C.休斯,598,1,0.9764823354583357
543,C.利姆,1592,1,0.3773206412977282
544,C.博文,1281,1,0.3206338326883021
545,C.卡卡尼,665,1,0.35458218166248934
546,C.古德,903,1,0.355849158016075
547,C.哈斯,1501,1,0.3749824461394174
548,C.奈加德,1092,1,0.4813766212515869
549,C.奥纳尔,728,3,0.522702060339578
550,C.安东,469,1,0.648135475783288
551,C.安登,514,8,0.5874712501807688
552,C.崔,598,2,0.34236214226597755
553,C.戈德曼-申哈尔,315,1,0.32321374508762474
554,C.昆兹,1001,2,0.3652533741670192
555,C.欧纳尔,637,1,0.6240203171995453
556,C.沙桑,787,1,0.8504039914672707
557,C.洛克什,2613,2,0.4845179015029977
558,C.罗伯特,2338,1,0.6266328909361691
559,C.罗宾森,1820,1,0.612970506333268
560,C.詹姆斯,1939,1,0.344097396279874
561,C.马斯,1071,1,0.3407698721971682
562,C.高希,1088,1,0.35929370914597314
563,C.高曼-申哈,637,1,0.3249057462165135
564,C·A·克里斯滕森,2443,1,0.3583306676550763
565,C·A·施拉马,777,1,0.35567771851204283
566,C·A·普赖斯,847,1,0.35338802880090797
567,C·A·格林,2369,1,0.4762103929022246
